fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,density,pH,sulphates,alcohol,free.so2,total.so2,good
7.7,0.28,0.23,3.7,0.059,0.9962,3.16,0.45,8.9,17.8,136.5,0
5.6,0.21,0.4,1.3,0.041,0.9902,3.21,0.97,11.6,89,137.1,1
6.8,0.18,0.3,6.3,0.049,0.9953,3.3,0.53,10.1,39.8,235.3,0
8.2,0.28,0.43,1.6,0.034,0.9915,3.1,0.52,12.3,31.8,142,1
6.8,0.16,0.17,4.9,0.049,0.9931,3,0.37,9.8,24.9,98.2,1
7.8,0.25,0.3,10.8,0.039,0.9969,3.13,0.55,9.5,56.6,167.6,1
7.5,0.24,0.63,13,0.033,0.9981,2.99,0.53,8.8,53,172.9,0
9.1,0.27,0.32,8.1,0.025,0.9957,3.13,0.47,11,41.7,238.4,1
6.7,0.34,0.27,5.3,0.06,0.9926,3.28,0.57,11.7,14.4,165,1
7,0.26,0.26,10.9,0.041,0.9981,3.49,0.6,10.4,30.2,138.4,1
6.8,0.5,0.63,13.4,0.077,0.9988,3.08,0.45,9.3,61.4,240.3,0
7.6,0.36,0.34,5.8,0.062,0.9963,3.48,0.69,10.6,12.6,109.2,1
7.8,0.27,0.32,1.5,0.04,0.9929,3.22,0.56,10.9,31.3,112.1,0
6.2,0.16,0.26,1.4,0.044,0.9907,3.27,0.37,11.2,60.2,107.5,1
8.2,0.28,0.39,1.7,0.029,0.9922,3.23,0.52,11.9,18.8,86.3,1
5.6,0.13,0.31,3,0.043,0.9887,3.17,0.32,12.9,17.9,73.2,1
8.1,0.17,0.2,1.6,0.038,0.9941,3.17,0.53,10,24.7,126.1,1
6.6,0.31,0.6,13.1,0.051,0.9973,3.08,0.5,9.2,34.7,127.9,1
6.2,0.46,0.28,0.7,0.039,0.9928,3.23,0.32,9.4,10.8,75,0
6,0.45,0.27,4.3,0.032,0.9917,3.26,0.45,11.2,44.6,113.8,1
8.3,0.3,0.38,2.3,0.057,0.9955,3.29,0.59,10.4,14.7,97.2,0
6.7,0.28,0.31,11.8,0.052,0.9954,3.02,0.59,10.4,62.1,139.5,1
7.2,0.36,0.31,10.2,0.046,0.9931,3.07,0.32,11.7,35,129.2,1
7.2,0.23,0.33,15.3,0.05,0.9986,3.02,0.4,9,39.6,200.1,1
6,0.21,0.24,3,0.052,0.9944,3.12,0.43,8.6,14.4,96.8,0
7.4,0.32,0.35,6.7,0.032,0.9951,3.2,0.45,9.8,23.2,124.9,1
7.5,0.32,0.37,2.7,0.051,0.9911,3.32,0.53,12.8,27.7,120.8,1
5.6,0.31,0.34,7.2,0.038,0.993,3.24,0.48,11.1,23.1,108,1
5.2,0.45,0.18,1.8,0.037,0.9877,3.22,0.82,14,31.1,112.8,1
7.6,0.24,0.34,13.6,0.044,0.9997,3.21,0.75,9,66.8,194.2,0
5.9,0.2,0.26,13,0.04,0.9942,3.3,0.56,11.8,34.4,128.3,1
7.7,0.45,0.24,11,0.032,0.9949,3.14,0.42,11.3,37.7,167.6,1
6.8,0.27,0.34,1.5,0.042,0.9925,3.28,0.47,10.6,25.8,196.6,0
6.5,0.5,0.19,2.4,0.056,0.993,3.17,0.39,9.2,18.8,103.4,1
6.6,0.23,0.29,9.7,0.041,0.9959,3.11,0.51,10,53.9,172.5,1
8.9,0.42,0.34,2,0.096,0.9905,2.95,0.54,12.5,24.1,97.2,1
6.4,0.29,0.27,4,0.038,0.9901,3.19,0.6,12.8,35.2,99.7,1
7.3,0.2,0.48,15.6,0.058,0.9997,3.42,0.36,9,54.6,104.4,1
6.8,0.2,0.28,4.9,0.041,0.9956,3.32,0.74,9.6,54.1,154.9,1
7.3,0.28,0.74,12.6,0.037,0.9981,3.05,0.44,8.5,55.4,148.7,0
5.9,0.17,0.28,0.7,0.026,0.9896,3.12,0.31,10.7,5,25.9,0
6.7,0.25,0.12,1.2,0.041,0.9919,3.14,0.43,9.8,76.8,193.9,0
6.9,0.36,0.38,2.4,0.048,0.9911,3.19,0.54,11,25.9,165.3,1
7.5,0.31,0.51,14.7,0.038,0.9984,3.06,0.6,9.6,65.5,188.6,0
6.3,0.3,0.34,1.4,0.053,0.9928,3.3,0.44,9.9,26.3,163.9,0
7.2,0.21,0.44,4.4,0.046,0.9944,3.13,0.61,11.3,53.4,149.1,1
6.2,0.18,0.32,4.3,0.04,0.9918,3.25,0.42,11.3,38.5,107.1,1
7.9,0.2,0.27,10.2,0.055,0.997,3.15,0.46,10,73.3,172.9,1
6.3,0.29,0.28,2.1,0.048,0.9895,3.21,0.46,13,32.3,167.3,1
6.4,0.37,0.31,4.8,0.049,0.9931,3.27,0.39,10.6,13.5,82.1,0
6.6,0.31,0.25,6.4,0.123,0.9951,3.05,0.49,9.4,42.1,123.1,0
5.9,0.27,0.48,15.9,0.052,0.9976,3.08,0.46,9.3,21,83.2,1
7.5,0.56,0.1,1.5,0.071,0.9951,3.23,0.53,9.7,18.5,117.2,0
5.8,0.31,0.13,1.6,0.037,0.9923,3.39,0.58,10.4,59.5,195,1
7,0.34,0.28,1.3,0.051,0.9925,3.27,0.61,10.5,41,213.6,0
7.1,0.26,0.23,7.8,0.053,0.9963,3.12,0.48,9,62.1,213.5,0
6.7,0.35,0.33,9,0.032,0.9918,3.13,0.65,12.9,29.6,125.8,1
6.5,0.29,0.33,5.2,0.049,0.9932,3.27,0.6,11,33.3,144.4,0
6.3,0.45,0.44,14.5,0.048,0.9998,3.24,0.54,8.7,29.9,242.5,1
6.9,0.15,0.36,1.5,0.047,0.9911,3.09,0.71,11,38,116.5,1
7.1,0.19,0.74,0.8,0.044,0.9931,3.47,0.53,10.3,18.2,148.6,0
6.6,0.34,0.29,6.2,0.045,0.9949,3.3,0.54,10.1,30.2,209.7,1
7.3,0.29,0.24,9.9,0.057,0.9957,3.15,0.46,11,23.4,114.1,0
6.7,0.25,0.23,12.4,0.05,0.9967,3.08,0.67,9.2,33.8,190.8,0
9.2,0.23,0.5,1.4,0.045,0.9918,3.22,0.34,12.3,24.5,105.1,1
6.9,0.21,0.24,1.8,0.02,0.9897,3.15,0.46,12.4,16.6,81.8,1
9.2,0.61,0.37,1.7,0.065,0.9969,3.24,0.38,8.4,40.1,212.6,0
9.2,0.18,0.42,2,0.049,0.9953,3.08,0.64,9.9,16.9,99.7,0
6.6,0.46,0.23,11.4,0.05,0.996,3.09,0.55,9.8,53.9,152.4,1
6.9,0.2,0.48,1.4,0.042,0.9927,3.26,0.64,10.9,13.4,141.2,0
5.8,0.25,0.25,12.4,0.036,0.9975,3.34,0.43,9.5,29.3,140.8,0
6.3,0.23,0.26,8.1,0.055,0.9953,3.11,0.49,9.5,45.4,181.6,0
6.1,0.28,0.29,9.9,0.043,0.9955,3.13,0.43,10.3,65.2,122.9,1
6.1,0.3,0.27,15.5,0.036,0.9945,3.19,0.43,13,28,118.1,1
6.1,0.13,0.36,1.7,0.052,0.9896,3.1,0.5,11.6,25.9,66.7,1
7.6,0.25,0.3,1.6,0.033,0.9901,2.98,0.42,11.8,35,94.2,1
7.1,0.25,0.55,1.8,0.034,0.992,3.22,0.52,11,19.1,96.9,1
7.4,0.22,0.41,13.6,0.049,0.9987,3.38,0.42,9.6,40.4,166.3,0
6.2,0.23,0.33,6.2,0.03,0.9949,3.52,0.4,10.6,35.6,126.8,0
6.3,0.32,0.2,17.9,0.065,0.9989,3.13,0.5,8.8,38,156.5,0
6.1,0.29,0.29,5.6,0.047,0.9933,3.24,0.5,10.5,37.1,218.9,0
6.5,0.36,0.39,8,0.045,0.995,3.15,0.51,9.6,69.9,166.1,1
7,0.46,0.41,8.4,0.048,0.9974,3.32,0.48,9.3,9.1,156.6,1
7.9,0.42,0.47,8.2,0.055,0.9966,3.29,0.6,11.1,29,150.3,1
6.4,0.21,0.28,4.6,0.036,0.9931,3.06,0.75,10.8,95.7,182.3,1
6.9,0.18,0.33,1.6,0.031,0.9897,3.09,0.62,12.3,20.5,75.5,1
7.3,0.35,0.24,3.9,0.031,0.9907,3.02,0.36,11.7,5.6,37.2,0
6.3,0.21,0.3,0.9,0.03,0.9902,3.23,0.5,11.4,21.9,57.4,1
6.3,0.28,0.48,1.2,0.065,0.9915,3.38,0.45,12.1,33.4,106.9,1
8.1,0.18,0.31,11.8,0.041,0.9976,3.09,0.52,9.4,94.7,259.6,1
7.8,0.23,0.4,3.5,0.043,0.9952,3.36,0.46,10,36.6,167.8,1
7,0.22,0.26,7.3,0.042,0.9949,3.21,0.56,9.6,22.1,108.7,1
7.4,0.19,0.32,1.8,0.042,0.9935,3.37,0.68,11.2,46.1,180,1
7.3,0.37,0.67,10.5,0.043,0.9975,3.17,0.44,8.8,46.6,142.2,0
7.2,0.16,0.27,15.4,0.05,0.9984,2.89,0.43,8.6,22.1,151.5,1
9.5,0.21,0.46,1.2,0.038,0.9962,2.89,0.64,9.5,20.7,132.6,0
5.7,0.22,0.22,16.7,0.042,0.9986,3.27,0.48,9.1,36.9,112.3,1
6.7,0.28,0.42,8.1,0.044,0.9957,3.15,0.46,9.5,57.5,231.8,0
6.2,0.22,0.22,5.2,0.036,0.9942,3.36,0.33,10.1,24.4,115.2,1
5.6,0.25,0.24,17.6,0.059,0.9977,3.28,0.51,10.2,26.2,115.2,0
7.7,0.4,0.28,5,0.034,0.9918,3.2,0.57,12,34,119.5,1
6.5,0.35,0.28,8.4,0.035,0.9914,2.96,0.4,12.5,26.1,88.5,1
7.7,0.28,0.36,1.5,0.045,0.9925,3.06,0.46,10.6,27.4,170.4,1
6.4,0.5,0.19,2.5,0.06,0.9935,3.17,0.38,9.1,18.1,115.3,1
8.5,0.23,0.33,0.8,0.041,0.9919,3.05,0.37,10.5,4.6,25.9,0
9.2,0.26,0.34,1.1,0.025,0.9918,2.93,0.38,11.5,34.4,97.1,1
6.4,0.24,0.28,11.4,0.049,0.997,3.3,0.46,9.6,31.3,182.7,0
5.7,0.22,0.26,1.4,0.023,0.9925,3.37,0.58,10.3,17.9,85.9,1
7.5,0.24,0.3,13.1,0.051,0.9987,3.04,0.53,9.3,26.3,204.7,1
8.2,0.27,0.46,7.7,0.058,0.9973,3.33,0.77,11.2,27.1,142.2,1
6.8,0.3,0.34,3.4,0.055,0.9953,3.43,0.58,10.5,24.4,194.5,0
5.6,0.21,0.31,0.8,0.036,0.9905,3.23,0.46,10.5,39.5,133.8,1
5.2,0.44,0.1,1.1,0.028,0.9908,3.51,0.48,11.1,5.7,48.5,0
6.5,0.16,0.24,1.3,0.048,0.9932,3.6,0.53,10.3,18.8,84.3,1
6.3,0.33,0.19,5.8,0.041,0.9946,3.14,0.61,10,19.5,142.8,0
7,0.26,0.26,16.1,0.049,0.9982,3.15,0.5,9.3,52.8,189.6,0
5.5,0.17,0.29,2.6,0.05,0.9923,3.47,0.53,10.3,27.1,84.5,1
6.6,0.17,0.39,1.8,0.034,0.9907,3.04,0.55,11.3,37.5,117.2,1
7.3,0.3,0.49,14.1,0.042,0.9981,3.05,0.59,9.5,59.5,234.8,0
6.7,0.31,0.27,5.2,0.039,0.9946,3.19,0.67,9.4,46.1,181.7,1
7.5,0.21,0.32,18.9,0.046,1.0002,3.1,0.51,9.4,35.2,220.1,1
6.8,0.28,0.41,7.5,0.032,0.9917,3.08,0.6,12.7,31.9,109.2,1
5.1,0.29,0.31,1.4,0.038,0.9896,3.57,0.48,12.9,16.2,102.2,1
6.7,0.2,0.37,8.1,0.05,0.9946,3.33,0.57,10.8,30.9,166.5,1
6.6,0.29,0.36,6.2,0.053,0.9962,3.25,0.39,8.7,12.4,185.6,0
6.9,0.14,0.38,1,0.041,0.9903,3.04,0.53,11.3,21.4,72,1
7.1,0.25,0.28,14.6,0.054,0.999,3.13,0.4,9,66.9,183.7,1
6.4,0.27,0.37,0.9,0.051,0.9926,3.44,0.51,10.5,7.8,150.6,1
5.9,0.27,0.3,11.4,0.035,0.9949,3.35,0.48,10.4,28.4,113.2,1
6.2,0.66,0.5,1.1,0.029,0.9893,3.34,0.38,12.8,27.6,84.1,1
6.1,0.2,0.3,3.1,0.031,0.9917,3.38,0.68,11,27.9,143.5,1
5.8,0.37,0.05,1.5,0.066,0.9928,3.27,0.55,9.2,23.4,157.3,0
6.4,0.27,0.47,7.5,0.051,0.9956,3.16,0.46,8.9,64.2,189.6,0
6.9,0.26,0.3,12.4,0.036,0.9957,2.97,0.57,10.5,81.4,197.1,1
6.4,0.24,0.51,7.2,0.051,0.9949,3.22,0.36,9.5,55.4,228.5,0
5.5,0.13,0.3,4.5,0.043,0.9941,3.29,0.43,9.2,23,93.2,1
5.4,0.16,0.24,2.7,0.04,0.9927,3.28,0.48,10,12.7,106.4,0
5.1,0.61,0.33,1.3,0.03,0.9885,3.28,0.36,13.1,2.7,66.6,1
6.8,0.26,0.21,2.9,0.029,0.9909,3.22,0.37,11.3,52.3,116.5,1
7.2,0.24,0.2,8.1,0.044,0.9969,3.16,0.44,9.4,49.1,169.1,0
7.3,0.19,0.24,1.7,0.04,0.9924,3.37,0.43,10.7,36.6,114.7,1
8.4,0.17,0.33,1.6,0.049,0.9942,3.12,0.57,9.4,54.3,146.2,1
8,0.28,0.38,7,0.051,0.9952,3.25,0.45,9.9,35.9,73.2,1
7.8,0.52,0.38,6.1,0.052,0.9984,3.09,0.54,9.6,33,146.4,0
6.6,0.26,0.36,8.6,0.042,0.9956,3.27,0.62,10.3,32.5,147.6,0
6.9,0.36,0.3,4.6,0.029,0.9916,3.36,0.49,12,36.9,151,1
6.2,0.21,0.25,14.9,0.054,0.9977,3.2,0.52,9.6,8,101,1
6.8,0.24,0.37,1.2,0.053,0.9932,3.04,0.55,9.2,36.5,126.4,0
6.7,0.47,0.31,1.5,0.021,0.9893,3.14,0.55,12.8,20.5,101.5,1
6.5,0.27,0.2,6.8,0.044,0.9932,3.15,0.34,10,102.4,173.4,1
7.3,0.31,0.36,1.2,0.048,0.9937,3.1,0.43,9.3,20.4,198.1,0
6.1,0.33,0.3,2,0.032,0.989,3.29,0.42,12.8,36.9,136.3,1
8.3,0.25,0.49,7.3,0.038,0.9934,3.03,0.34,11.9,53.5,110.7,1
6.8,0.11,0.51,4.1,0.028,0.9915,2.91,0.54,10.4,52.5,133.7,1
7.7,0.19,0.38,2.6,0.044,0.9943,3.47,0.44,10.7,35.2,177.5,1
7.3,0.19,0.49,1.6,0.038,0.9915,3.32,0.45,12.6,36,148.5,1
7.9,0.29,0.41,4.8,0.058,0.9968,3.26,0.5,9.8,33.5,129.4,1
7.3,0.21,0.47,6.6,0.037,0.994,3.19,0.37,11.2,14.8,96.3,1
7.3,0.21,0.37,14.2,0.062,0.9979,2.89,0.41,9.3,53,208.4,1
7.7,0.41,0.25,14.9,0.054,0.9986,3.17,0.48,9.8,30.6,174.4,0
5.9,0.27,0.3,1.7,0.025,0.9893,3.33,0.61,12.5,31.7,111.7,1
6.3,0.32,0.25,5,0.037,0.9932,3.22,0.4,10.4,41.4,157.5,1
7.3,0.24,0.35,2,0.029,0.9908,3.13,0.63,12.6,20.3,65.7,1
7.3,0.16,0.26,15.5,0.049,0.9989,2.88,0.43,8.8,20.8,135.2,1
6.1,0.26,0.29,14.6,0.043,0.9965,3.11,0.54,10.2,13.1,122.6,1
6.7,0.21,0.12,4.3,0.185,0.994,2.91,0.44,9.4,35,224.2,1
8.1,0.37,0.27,7.5,0.041,0.9957,3.14,0.54,9.9,61.1,244.6,1
6.7,0.32,0.24,16.1,0.044,0.9985,3.07,0.54,9.3,28.3,160.9,0
6.9,0.2,0.36,1.5,0.031,0.9932,3.36,0.56,11,45.1,131.2,1
5.9,0.22,0.26,1.5,0.038,0.9908,3.21,0.52,11.4,34.4,106.1,1
6.3,0.31,0.48,8,0.027,0.9913,3.22,0.79,12.6,18.4,78.7,0
6.3,0.26,0.42,7,0.045,0.9953,3.21,0.53,9.4,62.9,194.4,1
6.6,0.42,0.29,2.6,0.032,0.9908,3.04,0.35,11.7,25,91.3,1
7.7,0.31,0.3,4.7,0.061,0.9956,3.52,0.61,10.2,22,150.8,1
6.6,0.2,0.35,0.8,0.033,0.9918,3.24,0.68,10.5,41.3,108.9,1
5.7,0.31,0.22,1.5,0.035,0.9885,2.96,0.33,11.9,38.8,133.7,0
8,0.32,0.28,31.5,0.052,1.0104,3.15,0.37,8.9,40.6,184.2,1
7.6,0.38,0.28,4.9,0.034,0.9917,3.18,0.58,12.3,33.9,115.6,1
6.3,0.47,0.05,1,0.031,0.9905,2.97,0.29,10.8,9.4,126.9,0
6.9,0.18,0.29,6.3,0.049,0.9957,3.28,0.53,9.9,34.4,234,0
6,0.32,0.28,4.8,0.038,0.9899,3.2,0.58,12.9,37.3,82.7,1
6.4,0.45,0.27,2.1,0.055,0.9953,3.59,0.56,9.9,19.6,182,0
8.4,0.22,0.29,1.3,0.039,0.9916,3.13,0.54,10.8,55.6,121.3,1
8,0.29,0.5,7.1,0.043,0.9943,3.15,0.38,10.8,25,164.8,1
6.4,0.14,0.27,2.4,0.036,0.9913,3.21,0.74,11.5,32.8,70.4,1
6.6,0.26,0.33,6.7,0.058,0.9921,3.19,0.4,11.2,30.3,104.4,0
7.4,0.25,0.35,15.3,0.05,0.9983,3.03,0.42,9,37.8,167.7,1
6.5,0.27,0.33,16.3,0.044,1.0002,3.37,0.46,9.4,36.7,152.4,1
6.2,0.11,0.36,1.6,0.047,0.9941,3.42,0.51,8.8,41.6,106.9,1
7.1,0.24,0.31,2.3,0.036,0.9921,3.27,0.66,11,38.8,104,1
6.7,0.27,0.39,7.4,0.048,0.996,3.2,0.5,9.3,46.1,193.3,0
7.1,0.28,0.51,1.8,0.043,0.994,3.46,0.52,10.2,33.7,119.6,1
6.9,0.34,0.3,2,0.069,0.994,3.19,0.47,9.5,12.6,170.2,0
6.5,0.28,0.46,7.1,0.048,0.9955,3.15,0.49,9.2,55.2,197,0
4.9,0.63,0.11,1.2,0.01,0.9873,3.27,0.37,13.6,73.5,88.4,0
7.1,0.21,0.25,9.2,0.027,0.9923,3.08,0.36,12.5,38.6,139.9,1
7.3,0.28,0.3,2.2,0.043,0.9912,3.34,0.44,12.6,29.2,107.7,1
6.3,0.19,0.23,1.2,0.037,0.9924,3.25,0.45,10.2,30.8,135.8,0
6.7,0.26,0.25,8,0.053,0.9964,3.22,0.44,9.4,54.9,207.2,0
7.1,0.31,0.52,1.7,0.029,0.9919,3.08,0.44,10.3,4.8,71.1,0
7.7,0.54,0.22,2.1,0.029,0.9931,3.04,0.32,10.4,10.9,164.9,0
6.1,0.42,0.19,1.9,0.049,0.9929,3.41,0.53,10.4,29.4,127.7,1
8.1,0.21,0.49,1.2,0.051,0.9915,3.05,0.47,11,11.5,149.4,1
6.9,0.28,0.75,1.3,0.172,0.993,3.04,0.48,9.2,31.4,119.6,1
5.5,0.34,0.3,6.9,0.04,0.993,3.24,0.48,11,25.7,94,1
6.5,0.18,0.28,1.1,0.035,0.9895,3.01,0.52,12,43.8,107.1,1
6.7,0.34,0.1,1.2,0.049,0.9936,3.2,0.42,9.4,27.1,122.9,0
5.9,0.27,0.27,11.3,0.053,0.997,3.23,0.45,9.5,26.9,147.8,1
5.8,0.25,0.35,1.9,0.042,0.9899,3.03,0.45,11.4,14.3,64.6,1
7.8,0.4,0.49,7.8,0.06,0.9964,3.25,0.58,11.5,33.8,190.3,1
6.4,0.47,0.05,1.1,0.031,0.9904,2.96,0.29,10.7,10.7,123,0
6.1,0.23,0.36,17,0.04,0.9995,3.23,0.45,8.8,34.3,147.8,1
6.6,0.18,0.34,1,0.024,0.9913,3.23,0.56,11.2,21.2,91.3,1
8.6,0.39,0.7,12.2,0.04,0.9982,3,0.71,9.2,23.3,171.9,1
5.1,0.37,0.07,13.6,0.041,0.9971,3.47,0.38,10,35.8,133.6,1
5.4,0.33,0.3,4.1,0.032,0.9904,3.3,0.43,12.2,26.3,111,1
6.3,0.42,0.46,8.5,0.049,0.9947,3.18,0.44,9.8,67.8,175,1
6.3,0.62,0.13,4.8,0.06,0.9953,3.23,0.47,8.9,34.7,199.5,0
7,0.18,0.35,13.6,0.038,0.9952,3,0.64,10.7,43.5,128.2,1
6.9,0.2,0.38,1.2,0.036,0.992,3.17,0.51,10.3,37.2,95.9,0
7.4,0.16,0.35,4.4,0.051,0.9943,3.11,0.46,9.7,25.2,93,1
7.6,0.33,0.31,8,0.048,0.9947,2.98,0.47,10.9,22.6,188.3,0
7.6,0.24,0.42,3.9,0.035,0.991,3.07,0.36,11.6,46,137.9,1
8.1,0.26,0.25,4.3,0.029,0.9921,3.14,0.33,11.3,38.5,154,1
6,0.51,0.32,7.7,0.045,0.9925,3.05,0.38,11.2,28,117.7,1
7.3,0.23,0.49,1.2,0.037,0.9919,3.17,0.55,11.1,35.8,149.1,1
5.7,0.39,0.25,1.9,0.034,0.9879,3.32,0.51,13.5,10.8,51.7,1
6.6,0.39,0.27,9.1,0.035,0.992,3.06,0.34,12,9.3,101.7,1
7.7,0.36,0.5,11.2,0.047,0.9986,3.01,0.43,9.2,83.7,215.3,0
8.9,0.39,0.35,5.9,0.056,0.9926,2.96,0.5,11.9,29.9,131.7,1
7.3,0.2,0.98,1.1,0.154,0.9932,2.95,0.43,9.1,47.1,121.6,1
7.2,0.25,0.35,1.8,0.033,0.9922,3.11,0.33,11,68.4,158.4,1
